"stateroute","year","aou","speciestotal"
2024,2016,4610,6
2024,2016,4650,3
2024,2016,4770,32
2024,2016,4880,77
2024,2016,4900,1
2024,2016,4930,5
2024,2016,4950,9
2024,2016,4980,3
2024,2016,5060,4
2024,2016,5110,5
2024,2016,5190,4
2024,2016,5290,2
2024,2016,5600,10
2024,2016,5630,1
2024,2016,5870,11
2024,2016,5930,72
2024,2016,5970,11
2024,2016,5980,14
2024,2016,6100,13
2024,2016,6110,9
2024,2016,6130,9
2024,2016,6240,18
2024,2016,6280,4
2024,2016,6310,30
2024,2016,6380,2
2024,2016,6480,22
2024,2016,6630,1
2024,2016,6710,15
2024,2016,6730,3
2024,2016,6770,1
2024,2016,6810,3
2024,2016,6830,37
2024,2016,6840,4
2024,2016,6882,1
2024,2016,7030,26
2024,2016,7050,5
2024,2016,7180,28
2024,2016,7290,6
2024,2016,7310,37
2024,2016,7360,10
2024,2016,7510,8
2024,2016,7550,5
2024,2016,7660,11
2024,2016,22860,1
2025,2016,2890,6
2025,2016,3160,27
2025,2016,3250,6
2025,2016,3390,2
2025,2016,3640,2
2025,2016,3870,3
2025,2016,3940,5
2025,2016,4090,7
2025,2016,4230,3
2025,2016,4280,2
2025,2016,4440,9
2025,2016,4520,4
2025,2016,4560,12
2025,2016,4650,2
2025,2016,4770,39
2025,2016,4880,40
2025,2016,4930,6
2025,2016,4950,4
2025,2016,4980,1
2025,2016,5010,8
2025,2016,5060,9
2025,2016,5110,1
2025,2016,5190,2
2025,2016,5520,1
2025,2016,5600,13
2025,2016,5630,12
2025,2016,5870,32
2025,2016,5930,35
2025,2016,5970,12
2025,2016,5980,29
2025,2016,6100,10
2025,2016,6120,18
2025,2016,6130,3
2025,2016,6240,13
2025,2016,6280,3
2025,2016,6310,14
2025,2016,6380,1
2025,2016,6390,1
2025,2016,6480,2
2025,2016,6710,4
2025,2016,6730,7
2025,2016,6810,2
2025,2016,6830,11
2025,2016,6840,2
2025,2016,6882,2
2025,2016,7030,31
2025,2016,7050,2
2025,2016,7180,12
2025,2016,7290,1
2025,2016,7310,21
2025,2016,7360,16
2025,2016,7510,15
2025,2016,7550,10
2025,2016,7610,1
2025,2016,7660,12
2029,2016,2890,5
2029,2016,3160,31
2029,2016,3200,1
2029,2016,3250,40
2029,2016,3260,6
2029,2016,3370,1
2029,2016,3390,7
2029,2016,3430,1
2029,2016,3870,5
2029,2016,3940,7
2029,2016,4050,1
2029,2016,4090,20
2029,2016,4230,12
2029,2016,4280,1
2029,2016,4440,4
2029,2016,4520,17
2029,2016,4560,8
2029,2016,4610,5
2029,2016,4650,5
2029,2016,4770,16
2029,2016,4880,58
2029,2016,4900,1
2029,2016,4930,13
2029,2016,4950,6
2029,2016,4980,4
2029,2016,5010,3
2029,2016,5060,5
2029,2016,5110,5
2029,2016,5290,1
2029,2016,5600,2
2029,2016,5630,9
2029,2016,5750,5
2029,2016,5870,15
2029,2016,5930,64
2029,2016,5970,15
2029,2016,5980,28
2029,2016,6100,8
2029,2016,6110,4
2029,2016,6130,7
2029,2016,6170,4
2029,2016,6240,11
2029,2016,6280,1
2029,2016,6310,23
2029,2016,6360,1
2029,2016,6480,9
2029,2016,6630,5
2029,2016,6710,28
2029,2016,6730,5
2029,2016,6770,2
2029,2016,6810,3
2029,2016,6830,21
2029,2016,6840,4
2029,2016,7030,25
2029,2016,7050,2
2029,2016,7180,23
2029,2016,7290,3
2029,2016,7310,23
2029,2016,7360,9
2029,2016,7510,13
2029,2016,7550,3
2029,2016,7660,11
2029,2016,22860,3
2043,2016,3160,7
2043,2016,3250,3
2043,2016,3390,1
2043,2016,3870,13
2043,2016,3940,5
2043,2016,4050,2
2043,2016,4060,3
2043,2016,4090,16
2043,2016,4230,29
2043,2016,4440,1
2043,2016,4520,4
2043,2016,4560,8
2043,2016,4610,1
2043,2016,4770,20
2043,2016,4880,69
2043,2016,4930,2
2043,2016,4950,5
2043,2016,4980,3
2043,2016,5010,1
2043,2016,5110,8
2043,2016,5190,1
2043,2016,5600,4
2043,2016,5870,12
2043,2016,5930,37
2043,2016,5970,2
2043,2016,5980,15
2043,2016,6100,2
2043,2016,6110,22
2043,2016,6130,4
2043,2016,6240,5
2043,2016,6310,15
2043,2016,6710,7
2043,2016,6730,6
2043,2016,6810,1
2043,2016,6830,10
2043,2016,6840,7
2043,2016,7030,15
2043,2016,7040,1
2043,2016,7050,5
2043,2016,7180,8
2043,2016,7310,22
2043,2016,7360,6
2043,2016,7510,3
2043,2016,7550,12
2043,2016,7610,4
2043,2016,7660,2
2043,2016,22860,1
2045,2016,2890,3
2045,2016,3160,12
2045,2016,3250,12
2045,2016,3260,5
2045,2016,3370,3
2045,2016,3390,3
2045,2016,3870,2
2045,2016,3940,1
2045,2016,4050,4
2045,2016,4090,4
2045,2016,4520,8
2045,2016,4560,3
2045,2016,4610,3
2045,2016,4650,1
2045,2016,4770,9
2045,2016,4880,42
2045,2016,4930,21
2045,2016,4950,8
2045,2016,4980,3
2045,2016,5010,7
2045,2016,5060,5
2045,2016,5110,1
2045,2016,5600,2
2045,2016,5630,3
2045,2016,5870,13
2045,2016,5930,21
2045,2016,5970,5
2045,2016,5980,29
2045,2016,6080,1
2045,2016,6100,6
2045,2016,6110,7
2045,2016,6120,3
2045,2016,6130,5
2045,2016,6170,1
2045,2016,6190,32
2045,2016,6240,22
2045,2016,6280,3
2045,2016,6310,19
2045,2016,6360,3
2045,2016,6380,1
2045,2016,6390,3
2045,2016,6710,12
2045,2016,6730,5
2045,2016,6740,2
2045,2016,6770,5
2045,2016,6810,10
2045,2016,6830,23
2045,2016,6840,8
2045,2016,7030,10
2045,2016,7050,4
2045,2016,7180,15
2045,2016,7310,14
2045,2016,7360,5
2045,2016,7510,2
2045,2016,7550,6
2045,2016,7660,7
2047,2016,2890,1
2047,2016,3100,1
2047,2016,3131,1
2047,2016,3160,19
2047,2016,3390,1
2047,2016,3870,9
2047,2016,3940,5
2047,2016,4050,3
2047,2016,4060,2
2047,2016,4090,9
2047,2016,4230,13
2047,2016,4280,1
2047,2016,4440,3
2047,2016,4520,8
2047,2016,4560,11
2047,2016,4610,2
2047,2016,4650,1
2047,2016,4770,17
2047,2016,4880,39
2047,2016,4950,2
2047,2016,4980,1
2047,2016,5010,4
2047,2016,5060,4
2047,2016,5110,2
2047,2016,5190,1
2047,2016,5600,5
2047,2016,5870,2
2047,2016,5930,15
2047,2016,5970,6
2047,2016,5980,20
2047,2016,6100,6
2047,2016,6130,4
2047,2016,6240,6
2047,2016,6280,2
2047,2016,6310,20
2047,2016,6370,1
2047,2016,6380,4
2047,2016,6480,4
2047,2016,6710,9
2047,2016,6730,4
2047,2016,6770,5
2047,2016,6810,3
2047,2016,6830,8
2047,2016,6840,5
2047,2016,6870,5
2047,2016,7030,17
2047,2016,7050,3
2047,2016,7180,11
2047,2016,7310,23
2047,2016,7360,2
2047,2016,7510,11
2047,2016,7660,14
2050,2016,2890,3
2050,2016,3100,1
2050,2016,3131,1
2050,2016,3160,42
2050,2016,3250,1
2050,2016,3260,2
2050,2016,3390,1
2050,2016,3870,3
2050,2016,3940,1
2050,2016,4050,3
2050,2016,4090,16
2050,2016,4120,1
2050,2016,4230,8
2050,2016,4440,8
2050,2016,4520,10
2050,2016,4560,1
2050,2016,4610,1
2050,2016,4650,2
2050,2016,4770,38
2050,2016,4880,50
2050,2016,4900,3
2050,2016,4930,9
2050,2016,4950,14
2050,2016,4980,9
2050,2016,5010,19
2050,2016,5060,4
2050,2016,5110,11
2050,2016,5190,1
2050,2016,5290,2
2050,2016,5600,2
2050,2016,5630,1
2050,2016,5870,9
2050,2016,5930,80
2050,2016,5970,14
2050,2016,5980,21
2050,2016,6100,8
2050,2016,6110,12
2050,2016,6130,13
2050,2016,6170,4
2050,2016,6220,1
2050,2016,6240,5
2050,2016,6280,2
2050,2016,6310,13
2050,2016,6370,1
2050,2016,6480,21
2050,2016,6710,14
2050,2016,6730,7
2050,2016,6810,4
2050,2016,6830,16
2050,2016,6840,6
2050,2016,6882,2
2050,2016,7030,57
2050,2016,7040,4
2050,2016,7050,5
2050,2016,7180,24
2050,2016,7290,1
2050,2016,7310,13
2050,2016,7360,6
2050,2016,7510,7
2050,2016,7550,11
2050,2016,7660,12
2050,2016,22860,9
2057,2016,3160,10
2057,2016,3250,7
2057,2016,3390,1
2057,2016,3870,11
2057,2016,3930,2
2057,2016,3940,1
2057,2016,4050,8
2057,2016,4060,1
2057,2016,4090,15
2057,2016,4440,4
2057,2016,4520,9
2057,2016,4560,3
2057,2016,4610,3
2057,2016,4650,2
2057,2016,4770,5
2057,2016,4880,23
2057,2016,4930,2
2057,2016,4950,12
2057,2016,4980,3
2057,2016,5060,3
2057,2016,5290,1
2057,2016,5600,3
2057,2016,5630,3
2057,2016,5870,11
2057,2016,5930,32
2057,2016,5970,2
2057,2016,5980,25
2057,2016,6080,6
2057,2016,6100,9
2057,2016,6110,10
2057,2016,6130,2
2057,2016,6240,40
2057,2016,6280,3
2057,2016,6310,28
2057,2016,6360,2
2057,2016,6390,6
2057,2016,6480,3
2057,2016,6630,3
2057,2016,6670,2
2057,2016,6710,7
2057,2016,6730,6
2057,2016,6740,1
2057,2016,6770,1
2057,2016,6830,16
2057,2016,6840,10
2057,2016,6882,3
2057,2016,7030,13
2057,2016,7050,4
2057,2016,7180,16
2057,2016,7270,6
2057,2016,7310,21
2057,2016,7360,7
2057,2016,7510,2
2057,2016,7550,1
2057,2016,7610,5
2057,2016,7660,8
2059,2016,3160,10
2059,2016,3250,10
2059,2016,3870,11
2059,2016,3940,3
2059,2016,4050,2
2059,2016,4060,2
2059,2016,4090,8
2059,2016,4230,3
2059,2016,4440,4
2059,2016,4520,9
2059,2016,4560,3
2059,2016,4610,4
2059,2016,4650,1
2059,2016,4770,6
2059,2016,4880,44
2059,2016,4950,1
2059,2016,4980,1
2059,2016,5060,4
2059,2016,5110,2
2059,2016,5600,2
2059,2016,5870,9
2059,2016,5930,15
2059,2016,5970,2
2059,2016,5980,34
2059,2016,6100,6
2059,2016,6110,5
2059,2016,6130,12
2059,2016,6170,1
2059,2016,6240,9
2059,2016,6280,1
2059,2016,6310,28
2059,2016,6360,3
2059,2016,6380,1
2059,2016,6480,5
2059,2016,6520,1
2059,2016,6710,13
2059,2016,6730,8
2059,2016,6760,1
2059,2016,6770,5
2059,2016,6810,5
2059,2016,6830,32
2059,2016,6840,20
2059,2016,6870,1
2059,2016,7030,8
2059,2016,7050,2
2059,2016,7180,9
2059,2016,7310,11
2059,2016,7360,5
2059,2016,7510,13
2059,2016,7550,5
2060,2016,2890,1
2060,2016,3160,2
2060,2016,3250,2
2060,2016,3870,3
2060,2016,3940,5
2060,2016,4050,1
2060,2016,4060,1
2060,2016,4090,3
2060,2016,4230,4
2060,2016,4520,2
2060,2016,4560,2
2060,2016,4610,1
2060,2016,4650,1
2060,2016,4770,8
2060,2016,4880,31
2060,2016,4950,4
2060,2016,4980,4
2060,2016,5060,2
2060,2016,5190,3
2060,2016,5290,1
2060,2016,5600,2
2060,2016,5630,2
2060,2016,5870,26
2060,2016,5930,39
2060,2016,5970,11
2060,2016,5980,33
2060,2016,6080,5
2060,2016,6100,11
2060,2016,6120,6
2060,2016,6130,4
2060,2016,6240,21
2060,2016,6280,3
2060,2016,6310,22
2060,2016,6480,3
2060,2016,6710,22
2060,2016,6730,19
2060,2016,6770,3
2060,2016,6810,4
2060,2016,6830,33
2060,2016,6840,7
2060,2016,7030,1
2060,2016,7040,1
2060,2016,7050,3
2060,2016,7180,17
2060,2016,7270,1
2060,2016,7310,13
2060,2016,7360,7
2060,2016,7510,7
2060,2016,7550,5
2060,2016,7660,4
2072,2016,2890,1
2072,2016,3160,58
2072,2016,3250,1
2072,2016,3370,2
2072,2016,3390,2
2072,2016,3520,1
2072,2016,3870,2
2072,2016,3940,1
2072,2016,4060,2
2072,2016,4090,15
2072,2016,4230,11
2072,2016,4280,1
2072,2016,4440,8
2072,2016,4520,3
2072,2016,4560,7
2072,2016,4610,6
2072,2016,4650,11
2072,2016,4770,8
2072,2016,4880,35
2072,2016,4930,195
2072,2016,4950,6
2072,2016,4980,5
2072,2016,5010,21
2072,2016,5060,7
2072,2016,5110,8
2072,2016,5190,3
2072,2016,5290,10
2072,2016,5600,13
2072,2016,5630,18
2072,2016,5870,41
2072,2016,5930,59
2072,2016,5970,7
2072,2016,5980,44
2072,2016,6080,1
2072,2016,6100,7
2072,2016,6110,8
2072,2016,6120,66
2072,2016,6130,25
2072,2016,6170,1
2072,2016,6240,3
2072,2016,6280,4
2072,2016,6310,13
2072,2016,6480,4
2072,2016,6630,4
2072,2016,6710,1
2072,2016,6730,1
2072,2016,6760,3
2072,2016,6770,8
2072,2016,6810,9
2072,2016,6830,10
2072,2016,6882,7
2072,2016,7030,29
2072,2016,7040,1
2072,2016,7050,8
2072,2016,7180,35
2072,2016,7270,1
2072,2016,7310,15
2072,2016,7360,6
2072,2016,7510,1
2072,2016,7550,10
2072,2016,7610,25
2072,2016,7660,26
2072,2016,22860,1
2105,2016,2890,4
2105,2016,3160,33
2105,2016,3250,75
2105,2016,3260,9
2105,2016,3330,1
2105,2016,3370,1
2105,2016,3390,2
2105,2016,3600,1
2105,2016,3870,3
2105,2016,3940,1
2105,2016,4050,1
2105,2016,4090,18
2105,2016,4230,1
2105,2016,4280,1
2105,2016,4440,7
2105,2016,4520,2
2105,2016,4560,3
2105,2016,4650,2
2105,2016,4770,6
2105,2016,4880,69
2105,2016,4930,116
2105,2016,4950,9
2105,2016,4980,9
2105,2016,5010,35
2105,2016,5060,3
2105,2016,5110,40
2105,2016,5190,10
2105,2016,5600,7
2105,2016,5630,7
2105,2016,5870,24
2105,2016,5930,39
2105,2016,5970,11
2105,2016,5980,34
2105,2016,6100,3
2105,2016,6110,1
2105,2016,6130,42
2105,2016,6170,3
2105,2016,6240,7
2105,2016,6310,13
2105,2016,6390,1
2105,2016,6730,3
2105,2016,6770,5
2105,2016,6810,2
2105,2016,6830,12
2105,2016,6840,1
2105,2016,7030,49
2105,2016,7050,15
2105,2016,7180,21
2105,2016,7310,13
2105,2016,7360,2
2105,2016,7510,4
2105,2016,7550,5
2105,2016,7610,5
2105,2016,7660,19
2105,2016,22860,1
2111,2016,2890,2
2111,2016,3100,1
2111,2016,3160,18
2111,2016,3250,1
2111,2016,3320,1
2111,2016,3370,1
2111,2016,3390,3
2111,2016,3430,2
2111,2016,3870,3
2111,2016,3940,2
2111,2016,4050,2
2111,2016,4090,20
2111,2016,4230,10
2111,2016,4440,4
2111,2016,4520,19
2111,2016,4560,14
2111,2016,4610,2
2111,2016,4770,24
2111,2016,4880,78
2111,2016,4930,38
2111,2016,4950,6
2111,2016,4980,10
2111,2016,5010,11
2111,2016,5060,1
2111,2016,5110,13
2111,2016,5190,12
2111,2016,5290,5
2111,2016,5460,3
2111,2016,5600,15
2111,2016,5630,7
2111,2016,5870,32
2111,2016,5930,64
2111,2016,5970,3
2111,2016,5980,34
2111,2016,6100,2
2111,2016,6120,6
2111,2016,6130,33
2111,2016,6170,9
2111,2016,6240,11
2111,2016,6280,1
2111,2016,6290,1
2111,2016,6310,16
2111,2016,6390,1
2111,2016,6630,3
2111,2016,6670,1
2111,2016,6710,2
2111,2016,6730,5
2111,2016,6810,10
2111,2016,6830,30
2111,2016,6840,2
2111,2016,6882,1
2111,2016,7030,30
2111,2016,7040,1
2111,2016,7050,18
2111,2016,7180,13
2111,2016,7310,41
2111,2016,7360,24
2111,2016,7510,5
2111,2016,7550,6
2111,2016,7610,14
2111,2016,7660,30
2156,2016,2890,4
2156,2016,3160,18
2156,2016,3260,3
2156,2016,3330,1
2156,2016,3370,2
2156,2016,3390,3
2156,2016,3870,3
2156,2016,4050,1
2156,2016,4060,1
2156,2016,4090,4
2156,2016,4440,6
2156,2016,4520,2
2156,2016,4560,10
2156,2016,4770,7
2156,2016,4880,72
2156,2016,4900,8
2156,2016,4930,4
2156,2016,4950,1
2156,2016,4980,4
2156,2016,5010,5
2156,2016,5060,5
2156,2016,5110,20
2156,2016,5600,10
2156,2016,5630,2
2156,2016,5870,59
2156,2016,5930,77
2156,2016,5970,11
2156,2016,5980,41
2156,2016,6100,3
2156,2016,6120,20
2156,2016,6130,20
2156,2016,6170,1
2156,2016,6240,3
2156,2016,6310,26
2156,2016,6380,1
2156,2016,6710,11
2156,2016,6730,1
2156,2016,6770,3
2156,2016,6810,2
2156,2016,6830,25
2156,2016,6840,1
2156,2016,7030,34
2156,2016,7050,13
2156,2016,7180,22
2156,2016,7290,6
2156,2016,7310,15
2156,2016,7360,16
2156,2016,7510,13
2156,2016,7550,4
2156,2016,7660,9
2162,2016,2890,6
2162,2016,3100,1
2162,2016,3160,19
2162,2016,3250,1
2162,2016,3370,2
2162,2016,3390,1
2162,2016,3870,7
2162,2016,3940,3
2162,2016,3950,2
2162,2016,4050,6
2162,2016,4060,4
2162,2016,4090,12
2162,2016,4120,5
2162,2016,4230,6
2162,2016,4280,4
2162,2016,4440,3
2162,2016,4520,5
2162,2016,4560,4
2162,2016,4610,3
2162,2016,4650,3
2162,2016,4770,32
2162,2016,4880,60
2162,2016,4930,2
2162,2016,4950,8
2162,2016,4980,6
2162,2016,5010,3
2162,2016,5060,2
2162,2016,5110,3
2162,2016,5190,2
2162,2016,5210,2
2162,2016,5290,7
2162,2016,5600,20
2162,2016,5630,3
2162,2016,5750,3
2162,2016,5870,30
2162,2016,5930,32
2162,2016,5970,10
2162,2016,5980,56
2162,2016,6080,7
2162,2016,6100,25
2162,2016,6110,3
2162,2016,6130,9
2162,2016,6240,58
2162,2016,6290,3
2162,2016,6310,5
2162,2016,6360,1
2162,2016,6390,3
2162,2016,6480,7
2162,2016,6630,13
2162,2016,6670,7
2162,2016,6710,40
2162,2016,6730,19
2162,2016,6740,1
2162,2016,6760,1
2162,2016,6770,4
2162,2016,6810,6
2162,2016,6830,31
2162,2016,6840,10
2162,2016,7030,6
2162,2016,7040,1
2162,2016,7050,4
2162,2016,7180,44
2162,2016,7270,19
2162,2016,7290,13
2162,2016,7310,34
2162,2016,7360,20
2162,2016,7510,22
2162,2016,7550,7
2162,2016,7610,2
2162,2016,7660,7
2204,2016,2890,2
2204,2016,3160,17
2204,2016,3250,4
2204,2016,3390,1
2204,2016,3870,3
2204,2016,4090,1
2204,2016,4230,6
2204,2016,4440,1
2204,2016,4520,1
2204,2016,4560,5
2204,2016,4610,3
2204,2016,4770,17
2204,2016,4880,20
2204,2016,4900,1
2204,2016,4930,9
2204,2016,4950,1
2204,2016,4980,6
2204,2016,5010,7
2204,2016,5110,1
2204,2016,5290,2
2204,2016,5600,1
2204,2016,5630,1
2204,2016,5870,1
2204,2016,5930,19
2204,2016,5980,23
2204,2016,6100,5
2204,2016,6120,2
2204,2016,6130,2
2204,2016,6240,2
2204,2016,6280,1
2204,2016,6310,6
2204,2016,6370,1
2204,2016,6480,1
2204,2016,6770,1
2204,2016,6810,3
2204,2016,6830,11
2204,2016,6882,4
2204,2016,7030,42
2204,2016,7050,1
2204,2016,7180,5
2204,2016,7270,1
2204,2016,7310,1
2204,2016,7360,2
2204,2016,7510,6
2204,2016,7550,5
2204,2016,7610,9
2204,2016,7660,15
2205,2016,3100,1
2205,2016,3160,15
2205,2016,3940,3
2205,2016,4050,1
2205,2016,4060,1
2205,2016,4090,7
2205,2016,4230,2
2205,2016,4520,11
2205,2016,4560,6
2205,2016,4610,8
2205,2016,4650,1
2205,2016,4770,8
2205,2016,4880,43
2205,2016,4900,2
2205,2016,4930,2
2205,2016,4950,5
2205,2016,4980,1
2205,2016,5010,3
2205,2016,5600,2
2205,2016,5870,10
2205,2016,5930,31
2205,2016,5970,3
2205,2016,5980,28
2205,2016,6100,13
2205,2016,6130,8
2205,2016,6240,11
2205,2016,6280,2
2205,2016,6310,29
2205,2016,6360,2
2205,2016,6370,1
2205,2016,6380,4
2205,2016,6480,10
2205,2016,6710,4
2205,2016,6730,11
2205,2016,6770,3
2205,2016,6810,5
2205,2016,6830,11
2205,2016,6840,5
2205,2016,6882,9
2205,2016,7030,7
2205,2016,7050,4
2205,2016,7180,3
2205,2016,7270,1
2205,2016,7310,10
2205,2016,7360,4
2205,2016,7510,9
2205,2016,7550,1
2205,2016,7610,2
2205,2016,7660,5
2211,2016,3160,3
2211,2016,3330,1
2211,2016,3370,2
2211,2016,3390,1
2211,2016,3870,3
2211,2016,4050,1
2211,2016,4090,5
2211,2016,4230,4
2211,2016,4440,3
2211,2016,4520,5
2211,2016,4560,1
2211,2016,4610,1
2211,2016,4650,2
2211,2016,4770,14
2211,2016,4880,8
2211,2016,4950,2
2211,2016,4980,1
2211,2016,5010,6
2211,2016,5060,4
2211,2016,5110,5
2211,2016,5290,1
2211,2016,5870,3
2211,2016,5930,35
2211,2016,5970,1
2211,2016,5980,10
2211,2016,6100,1
2211,2016,6110,5
2211,2016,6130,7
2211,2016,6170,2
2211,2016,6240,5
2211,2016,6280,2
2211,2016,6310,9
2211,2016,6370,2
2211,2016,6770,1
2211,2016,6810,1
2211,2016,6830,8
2211,2016,6840,5
2211,2016,7030,24
2211,2016,7040,1
2211,2016,7180,9
2211,2016,7310,9
2211,2016,7360,2
2211,2016,7510,1
2211,2016,7550,1
2211,2016,7610,1
2211,2016,7660,2
2211,2016,22860,2
2212,2016,2890,1
2212,2016,3160,14
2212,2016,3200,2
2212,2016,3250,4
2212,2016,3870,9
2212,2016,3940,1
2212,2016,4050,3
2212,2016,4090,8
2212,2016,4120,2
2212,2016,4230,8
2212,2016,4280,1
2212,2016,4440,3
2212,2016,4520,7
2212,2016,4560,5
2212,2016,4610,5
2212,2016,4650,9
2212,2016,4770,4
2212,2016,4880,59
2212,2016,4950,4
2212,2016,4980,2
2212,2016,5010,6
2212,2016,5060,2
2212,2016,5110,2
2212,2016,5600,16
2212,2016,5870,8
2212,2016,5930,24
2212,2016,5970,1
2212,2016,5980,19
2212,2016,6100,3
2212,2016,6120,2
2212,2016,6130,17
2212,2016,6170,2
2212,2016,6240,4
2212,2016,6280,2
2212,2016,6310,17
2212,2016,6370,1
2212,2016,6710,24
2212,2016,6730,8
2212,2016,6810,2
2212,2016,6830,3
2212,2016,6840,2
2212,2016,7030,15
2212,2016,7050,2
2212,2016,7180,9
2212,2016,7290,6
2212,2016,7310,25
2212,2016,7360,3
2212,2016,7510,2
2212,2016,7550,2
2212,2016,7660,9
2213,2016,2890,6
2213,2016,3160,18
2213,2016,3250,8
2213,2016,3260,7
2213,2016,3390,2
2213,2016,3870,9
2213,2016,3940,2
2213,2016,4050,3
2213,2016,4060,1
2213,2016,4090,12
2213,2016,4230,3
2213,2016,4520,16
2213,2016,4650,2
2213,2016,4770,28
2213,2016,4880,6
2213,2016,4900,5
2213,2016,4930,1
2213,2016,4950,1
2213,2016,4980,3
2213,2016,5010,3
2213,2016,5060,2
2213,2016,5110,11
2213,2016,5600,5
2213,2016,5870,22
2213,2016,5930,26
2213,2016,5970,4
2213,2016,5980,4
2213,2016,6100,3
2213,2016,6110,2
2213,2016,6130,9
2213,2016,6170,4
2213,2016,6240,5
2213,2016,6280,6
2213,2016,6310,23
2213,2016,6370,3
2213,2016,6480,3
2213,2016,6710,14
2213,2016,6730,3
2213,2016,6810,1
2213,2016,6830,20
2213,2016,6840,3
2213,2016,7030,15
2213,2016,7040,1
2213,2016,7050,6
2213,2016,7180,7
2213,2016,7290,4
2213,2016,7310,20
2213,2016,7360,3
2213,2016,7510,7
2213,2016,7550,10
2213,2016,7660,1
3004,2016,3920,1
3004,2016,4661,9
3004,2016,4680,3
3004,2016,4750,1
3004,2016,4840,2
3004,2016,4860,2
3004,2016,5220,1
3004,2016,5275,2
3004,2016,5540,1
3004,2016,5600,2
3004,2016,5670,32
3004,2016,5830,3
3004,2016,5850,1
3004,2016,6120,20
3004,2016,6140,2
3004,2016,6150,1
3004,2016,6460,4
3004,2016,6470,2
3004,2016,6520,6
3004,2016,6550,8
3004,2016,6680,1
3004,2016,6750,2
3004,2016,7490,3
3004,2016,7580,38
3004,2016,7590,1
3004,2016,7610,32
3004,2016,7630,3
3007,2016,4590,3
3007,2016,4620,1
3007,2016,4661,21
3007,2016,4840,10
3007,2016,5090,8
3007,2016,5150,1
3007,2016,5220,67
3007,2016,5280,5
