"stateroute","bio.point.bio1","bio.point.bio2","bio.point.bio3","bio.point.bio4","bio.point.bio5","bio.point.bio6","bio.point.bio7","bio.point.bio8","bio.point.bio9","bio.point.bio10","bio.point.bio11","bio.point.bio12","bio.point.bio13","bio.point.bio14","bio.point.bio15","bio.point.bio16","bio.point.bio17","bio.point.bio18","bio.point.bio19","bio.mean.bio1","bio.mean.bio2","bio.mean.bio3","bio.mean.bio4","bio.mean.bio5","bio.mean.bio6","bio.mean.bio7","bio.mean.bio8","bio.mean.bio9","bio.mean.bio10","bio.mean.bio11","bio.mean.bio12","bio.mean.bio13","bio.mean.bio14","bio.mean.bio15","bio.mean.bio16","bio.mean.bio17","bio.mean.bio18","bio.mean.bio19","bio.var.bio1","bio.var.bio2","bio.var.bio3","bio.var.bio4","bio.var.bio5","bio.var.bio6","bio.var.bio7","bio.var.bio8","bio.var.bio9","bio.var.bio10","bio.var.bio11","bio.var.bio12","bio.var.bio13","bio.var.bio14","bio.var.bio15","bio.var.bio16","bio.var.bio17","bio.var.bio18","bio.var.bio19"
"2011",155,136,40,7349,318,-16,334,73,208,247,57,1429,169,79,19,439,273,325,399,156.067615658363,136.914590747331,40.5551601423488,7318.97508896797,318.715302491103,-15.0711743772242,333.786476868327,76.8718861209964,209.818505338078,247.526690391459,58.5622775800712,1430.56227758007,168.875444839858,79.5053380782918,19.4733096085409,440.427046263345,271.750889679715,325.092526690391,401.822064056939,13.2846975088968,3.92839349262837,0.34069649211998,9720.93152008134,20.8686578546009,15.8377732587697,3.71853075749873,88.8978139298424,14.4419420437214,18.2430350788002,12.1898576512456,1065.70414336553,12.2094306049822,12.5365785460092,0.321606507371632,105.616980172852,37.9091509913574,78.8771225216065,109.803940010168
"2012",160,138,41,7363,324,-11,335,78,214,252,62,1388,166,76,20,431,263,316,390,156.132616487455,137.043010752688,40.6129032258064,7309.37634408602,318.663082437276,-15.0179211469534,333.681003584229,76.2544802867384,209.817204301075,247.462365591398,58.7311827956989,1431.83512544803,169.064516129032,79.6057347670251,19.4910394265233,441.096774193548,271.874551971326,325.659498207885,402.47311827957,13.2521337768495,4.00533766535159,0.353214202831283,9681.14922255744,21.094711327712,15.8881668858462,3.91586085969934,63.9817694231711,14.2434439545138,18.0552332327686,12.3699234161058,1091.32523658493,12.6073334880483,12.5490317423481,0.301178412109022,109.78556509631,38.793558701426,78.5203321213996,116.99118124855
"2013",159,134,40,7441,323,-12,335,76,214,252,60,1400,165,75,20,428,267,314,391,158.010638297872,133.971631205674,39.6382978723404,7440.60283687943,321.234042553192,-13.031914893617,334.265957446808,85.5212765957447,212.54609929078,250.90780141844,58.8439716312057,1412.33687943262,165.574468085106,76.2446808510638,19.6170212765957,430.656028368794,269.723404255319,317.187943262411,394.418439716312,11.6973953206633,6.50453042578431,0.630271825547058,6141.40041896974,15.9877337775422,14.2943514802756,1.19236011206179,222.891004770198,9.43736907195679,9.47189621665279,19.0147144191212,539.64767421317,2.18838494737639,3.46660861664269,0.272734156129325,18.5609777643169,34.9623684409783,34.4022740465915,24.9844274500896
"2014",161,130,39,7306,321,-8,329,80,214,252,64,1453,165,79,18,432,283,339,401,164.007067137809,133.141342756184,39.6749116607774,7302.36042402827,325.159010600707,-6.00353356890459,331.162544169611,83.0388692579505,217.469964664311,255.162544169611,66.7067137809187,1428.67137809187,164.406360424028,76.6325088339223,18.8233215547703,430.975265017668,275.102473498233,330.614840989399,399.268551236749,7.90065909831341,15.3629301055059,1.34075132195574,10919.6994210962,6.20512242187304,7.86878179585495,2.68979775956695,23.0020299225622,5.42019397037817,4.56923038368043,14.3498483823271,256.994461569306,10.0860586923289,2.60205999548906,0.833922261484099,61.4639250181691,10.8511640728767,46.8830413753352,47.6368443475428
"2015",163,130,39,7457,324,-8,332,80,217,256,63,1420,161,78,18,422,273,323,394,161.548387096774,132.175627240143,39.0394265232975,7429.4982078853,323.910394265233,-9.88530465949821,333.795698924731,79.0215053763441,216.118279569892,254.254480286738,62.405017921147,1437.8064516129,163.666666666667,79.8817204301075,18.5448028673835,430.10752688172,276.032258064516,325.681003584229,402.602150537634,8.65142724530053,8.44746138573013,0.383332044042186,3424.66096799979,5.42719372888786,17.2242077305897,11.3861684845672,23.366442330007,6.5507078208401,6.93140971094092,12.9612696939223,344.890461824089,8.07913669064748,7.90322580645161,0.479100590495346,64.5423532142028,11.2615456022279,56.8223356798432,89.5281967974008
"2016",155,140,40,7534,322,-23,345,71,211,249,54,1510,170,88,19,449,286,328,432,156.67615658363,139.654804270463,40.1245551601424,7534.86832740214,323.377224199288,-20.5302491103203,343.907473309609,92.4306049822064,212.387900355872,250.199288256228,55.6797153024911,1495.23131672598,168.644128113879,87.2811387900356,19.1387900355872,446.099644128114,282.391459074733,324.480427046263,427.733096085409,10.4697508896797,7.01255719369598,0.288002033553635,2306.13617183528,9.01433655312659,22.7571174377224,11.6199796644637,1013.21748856126,7.93113879003559,8.69585663446873,16.3756227758007,231.999872902898,2.2443314692425,0.774250127097102,0.32709710218607,15.5828927300458,15.3033553634977,21.3433655312659,16.4392221657346
"2017",162,130,39,7403,324,-9,333,80,217,255,64,1461,164,81,18,434,279,336,409,163.548387096774,132.05017921147,39.1648745519713,7385.16845878136,325.057347670251,-7.6594982078853,332.716845878136,81.5591397849462,217.820788530466,255.713261648746,64.9784946236559,1447.85663082437,164.118279569892,80.6308243727599,18.4838709677419,434.139784946237,276.086021505376,332.05376344086,407.763440860215,4.73775818055233,8.30682550733607,0.454732987803306,6130.47871380315,2.3779943786906,14.7505479487378,12.2612619581754,19.1898352285913,2.6943864263428,2.56496738093396,10.1937804595034,482.015342564658,9.38524019494082,11.8452334906269,0.488048271060571,103.739382687398,7.41703411464377,75.5834300301694,136.73520538408
"2018",167,131,40,7179,325,-2,327,87,220,256,71,1479,166,78,19,451,277,349,425,167.663043478261,130.894927536232,39.536231884058,7202.59782608696,325.626811594203,-1.06159420289855,326.688405797101,87.8731884057971,220.670289855072,257.467391304348,71.6594202898551,1451.89130434783,163.108695652174,77.768115942029,18.6811594202899,441.38768115942,275.025362318841,341.20652173913,415.329710144928,6.41332015810277,6.15982872200263,0.496864295125165,10023.2303952569,2.01658761528327,16.7198287220026,16.8407378129117,16.7074967061924,4.47635046113307,3.58802371541502,14.0654018445323,231.631778656126,13.1808695652174,9.48057971014493,0.887061923583663,51.881884057971,5.90117259552042,17.1171936758893,53.9236231884058
"2019",165,134,39,7508,329,-7,336,120,219,258,65,1453,162,82,21,444,265,317,420,165.330935251799,134.489208633094,39.5719424460432,7489.27697841727,329.212230215827,-6.60071942446043,335.812949640288,120.305755395683,219.651079136691,258.705035971223,65.7302158273381,1443.03237410072,161.60071942446,82.1438848920863,20.841726618705,440.888489208633,263.525179856115,313.546762589928,416.467625899281,9.7312417214243,14.0702802379035,0.397332675375945,2411.36343921253,1.21472352803678,31.7858478560112,26.3042360335558,10.8917357089058,6.53124431862452,7.73939693010934,15.7067371373659,1193.04948965016,28.9555229462639,5.9214606654027,0.415292314884554,63.5218164818326,70.8423239747552,75.5916681817001,94.6253019245254
"2020",177,139,42,6911,333,8,325,100,227,262,85,1488,170,82,21,456,273,341,439,176.383512544803,138.351254480287,42.0824372759857,6908.08960573477,332.648745519713,7.75627240143369,324.89247311828,101.394265232975,226.462365591398,261.727598566308,84.2007168458781,1478.94623655914,169.408602150538,80.5519713261649,20.673835125448,451.878136200717,273.272401433692,342.397849462366,433.229390681004,3.31641783347516,4.44452180191331,0.593899074288956,7139.72215775766,2.50207575874784,4.70297310538666,2.07472731492226,49.5850029653696,2.75307495938733,1.44351615481808,7.34805703824038,720.216523555349,8.85402645625435,3.03236120780795,0.249348907970398,66.9635130605193,33.1269693922282,66.4922255743792,75.1198525050927
"2021",177,135,41,6988,333,9,324,100,228,263,84,1420,167,78,21,440,266,329,414,176.729241877256,135.393501805054,41.2924187725632,6976.74368231047,332.729241877256,9.03610108303249,323.693140794224,99.5162454873646,227.653429602888,262.888086642599,83.5379061371841,1425.37545126354,166.880866425993,77.812274368231,20.9458483754513,440.909747292419,266.43321299639,331.003610108303,415.685920577617,2.11120703186313,5.84097211322137,0.635195939936169,6579.74928059436,1.53874326374719,5.45521372887563,5.30767017213415,5.41730759169152,1.19104797781615,0.58525610840789,6.51757965782452,836.358525610841,9.88068330455711,11.6095589389421,0.254303353738293,34.7853031967771,25.6232407262073,126.1267985141,57.1799822110605
"2022",177,129,40,6989,329,13,316,101,228,264,84,1368,162,69,21,424,254,320,400,177.404332129964,128.740072202166,40.2815884476534,6997.62815884477,330.357400722022,14.4007220216607,315.956678700361,108.097472924188,213.046931407942,264.537906137184,84.9638989169675,1373.59927797834,162.202166064982,70.043321299639,21.3032490974729,427.689530685921,256.599277978339,322.418772563177,399.29963898917,7.14751739653639,6.92494637157955,0.355203264793596,2220.06050855439,5.43339611782556,22.088840056506,14.0415947261027,280.392638518286,421.537644535133,6.45236226652017,13.5711557578611,1003.45115889709,6.87202427667033,16.7444932768273,0.777272013812588,102.693114634019,67.7844922304191,32.0051535604039,178.007717260503
"2023",174,129,40,7153,331,9,322,95,227,263,79,1399,158,79,20,435,265,319,408,173.446043165468,129.514388489209,39.6690647482014,7143.41007194245,329.723021582734,7.4136690647482,322.309352517986,97.8057553956834,225.892086330935,262.55035971223,78.773381294964,1401.34532374101,159.086330935252,78.1654676258993,19.773381294964,435.068345323741,265.035971223022,320.187050359712,408.640287769784,3.10718645300366,4.35177778354933,0.251097317092175,9362.35108952549,6.20820455548918,7.48529984676519,15.9833779186037,92.1426382359816,1.95221151598577,1.62741864270317,6.46470404903514,363.548191050048,7.00335038828143,9.10609562891203,1.56939718982936,8.01336259512246,30.7207230605407,83.7627197880685,18.9820533464925
"2024",180,128,41,6830,330,21,309,105,186,265,90,1343,158,65,20,409,264,332,379,179.458483754513,128.678700361011,40.9314079422383,6834.7797833935,329.129963898917,18.6389891696751,310.490974729242,105.068592057762,185.007220216606,263.859205776173,88.7725631768953,1358.94945848375,160.046931407942,66.7292418772563,20.2743682310469,414.72202166065,264.667870036101,337.660649819495,384.054151624549,1.2201904462931,6.53045047873175,0.600350546748286,9686.04190864856,1.72942499869199,2.78224245278083,1.88125882906922,45.6655679380526,0.768063621618793,5.62140951185057,1.36475173965364,746.533668183959,19.8130068539737,1.41555485795009,0.199811646523309,145.43331763721,18.6863914613091,162.500366242871,43.2470569769267
"2025",174,128,40,7049,327,10,317,97,226,262,81,1400,164,71,21,430,269,333,403,173.996402877698,128.356115107914,40.0971223021583,7029.93525179856,326.575539568345,10.0863309352518,316.489208633094,99.8345323741007,208.154676258993,261.370503597122,80.8165467625899,1393.56115107914,162.615107913669,71.0251798561151,20.568345323741,429.197841726619,267.503597122302,330.708633093525,401.964028776978,19.1010700464899,7.26983611666623,0.1457678622445,1482.51564813131,9.97080746954783,57.9780796301587,22.8572838480118,190.282990935771,407.654689244994,19.0355167129834,31.2839129418487,1569.87891852583,11.4794821182765,5.85134924551334,0.484481728696465,206.888515180635,52.4386151728437,69.4707555255435,200.807365659819
"2026",174,129,40,6939,325,10,315,96,225,259,81,1404,164,71,21,434,272,332,411,173.229390681004,129.845878136201,40.6702508960573,6954.63440860215,324.695340501792,8.99283154121864,315.702508960573,97.0035842293907,209.200716845878,259.007168458781,80.2365591397849,1399.21146953405,164.100358422939,71.4050179211469,20.752688172043,430.304659498208,270.609318996416,334.724014336918,404.390681003584,24.9831618576107,9.74234805703824,0.286557850493799,2092.87305639359,13.3636832469508,58.3236894355483,19.0226915242,100.06833243083,339.592661354787,27.1869987880663,32.6272917150151,2126.17454423558,46.7524818854594,10.6159459529151,0.395451380830819,377.593899074289,48.6633660813285,69.7257162012326,238.512286944638
"2027",175,130,41,6869,325,11,314,98,183,260,83,1357,160,67,21,417,255,342,385,175.825454545455,129.992727272727,41.0363636363636,6851.52363636364,325.232727272727,11.8618181818182,313.370909090909,99.5345454545455,196.145454545455,260.163636363636,83.9563636363636,1348.49454545455,158.465454545455,66.0290909090909,21.2618181818182,414.021818181818,251.778181818182,339.589090909091,383.847272727273,7.84533510285335,0.897757133377571,0.086264100862641,5647.57881884539,4.38359654943597,18.1122229595222,7.0006104844061,25.9942402123424,345.489714664897,4.61181154611812,13.7061181154612,1821.60854678169,52.5562840079628,15.2108294625083,0.310763105507631,281.25499668215,118.282733908427,35.3378367617784,190.764910418049
"2028",169,138,42,7011,327,1,326,91,220,257,76,1354,154,72,21,416,251,328,393,167.315217391304,136.811594202899,41.6521739130435,6993.9384057971,323.840579710145,-0.503623188405797,324.344202898551,89.9021739130435,211.902173913043,254.38768115942,74.0652173913043,1377.75724637681,158.855072463768,72.4166666666667,21.1557971014493,424.721014492754,254.974637681159,331.728260869565,398.601449275362,11.3148221343874,10.7425559947299,0.227667984189723,3873.679828722,4.22903820816864,28.985441370224,24.5901844532279,39.5722134387352,214.35766798419,8.10733860342556,18.6502766798419,2426.38085638999,55.6080105401845,19.5021212121212,0.481093544137022,346.209156785244,66.5775362318841,51.2822529644269,245.302397891963
"2029",181,134,42,6752,329,17,312,106,187,264,91,1245,138,55,21,377,223,327,359,179.878136200717,132.544802867384,42,6734.13261648746,328.032258064516,16.5627240143369,311.469534050179,108.935483870968,186.333333333333,262.584229390681,89.7813620071685,1262.95698924731,141.182795698925,56.673835125448,21.573476702509,382.501792114695,225.10394265233,335.31541218638,361.838709677419,4.33761377994379,3.53665454732988,0.575539568345324,10634.5686805394,3.23276862381063,5.73615945952915,2.91183827131843,118.197261545602,4.76978417266187,2.12147701193884,8.73260101596142,1813.23555349269,64.1499187746577,13.5371186921431,0.353394703591965,283.675356489002,132.424408860009,133.324617725175,151.545834300302
"2030",189,126,42,6472,328,32,296,116,194,267,102,1335,144,70,20,385,247,378,376,186.86231884058,128.141304347826,42.4927536231884,6463.8115942029,327.579710144928,29.463768115942,298.115942028986,171.358695652174,192.572463768116,265.239130434783,100.228260869565,1374.82246376812,152.028985507246,69.5326086956522,20.1159420289855,406.445652173913,255.648550724638,391.927536231884,381.844202898551,4.6937022397892,3.03814229249012,0.323583662714097,2823.469828722,2.12089591567852,11.6605006587615,11.2083267457181,5569.0090513834,4.39109354413702,2.36442687747036,8.17679841897233,686.306548089592,28.7482476943347,17.1516600790514,0.262872200263505,140.022490118577,68.5051251646904,358.482002635046,24.7574571805007
"2031",192,133,44,6306,332,35,297,268,198,268,107,1389,158,68,21,420,258,420,374,191.158088235294,132.386029411765,44.1323529411765,6287.25367647059,331.113970588235,34.1139705882353,297,238.018382352941,185.636029411765,267.389705882353,106.823529411765,1396.91911764706,159.507352941176,68.9227941176471,21.1433823529412,425.419117647059,258.404411764706,423.547794117647,374.257352941176,2.4361705014109,6.83567126112438,0.617104406338181,9258.02028163664,6.30799598437161,1.85043140872585,5.44649446494465,3488.40187486434,368.726815172563,0.984100282179292,7.4373779031908,978.296016930758,90.4722704579987,21.8501058172346,0.662022465812893,543.971293683525,98.2786520512264,642.986637182548,56.9814955502496
"2032",181,129,42,6626,327,22,305,107,187,262,92,1363,158,69,20,410,260,364,376,181.467391304348,130.072463768116,41.9420289855072,6609.33695652174,327.710144927536,21.304347826087,306.405797101449,107.61231884058,187.507246376812,262.333333333333,92.9963768115942,1368.26086956522,157.213768115942,68.5507246376812,20.0724637681159,412.29347826087,258.427536231884,365.474637681159,380.847826086957,6.20620553359684,9.15836627140975,0.432990777338603,7268.12968379447,4.39567852437418,13.2161264822134,20.2347299077734,10.921884057971,5.67631093544137,1.84484848484848,11.8727140974967,682.768063241107,22.1905006587615,6.32832674571805,0.227457180500659,66.753557312253,70.231093544137,123.864808959157,33.4458498023715
"2033",179,142,44,6644,333,13,320,106,185,261,90,1446,168,71,20,441,277,384,402,180.406474820144,136.946043165468,43.1762589928058,6612.76978417266,330.194244604317,16.8381294964029,313.356115107914,108.543165467626,186.36690647482,261.381294964029,92.0611510791367,1440.53237410072,164.996402877698,71.2769784172662,19.5935251798561,432.81654676259,276.39928057554,385.877697841727,396.827338129496,2.77642001921928,16.0584499909098,0.687232163727502,4368.97208009765,2.2003999688336,12.3816455860582,20.4178505570994,261.057696802847,2.57247487208789,1.8396488585305,5.24895462691219,2093.52782900034,17.4981819598473,10.0132587071137,0.242123990338415,137.543840739683,77.4031763758668,457.688959301873,124.193906968288
"2034",179,142,44,6586,329,12,317,106,185,259,90,1523,171,73,19,452,291,414,417,180.062271062271,139.534798534799,43.8168498168498,6575.48717948718,329.531135531136,14.9194139194139,314.611721611722,126.81684981685,186.135531135531,260.549450549451,92.1135531135531,1511.78388278388,169.582417582418,72.3956043956044,19.4395604395604,449.058608058608,288.875457875458,412.827838827839,412.549450549451,1.23507864684335,4.0511743158802,0.31927386339151,8883.39781297134,4.13229907347554,6.29495259642318,17.1133915104503,2725.36339151045,1.69112260288731,1.25581771170006,4.87308769661711,1570.76562163327,6.4058661926309,15.9826276664512,0.364899806076277,48.8641995259642,76.2344322344322,602.606280973928,64.5352294764059
"2035",184,130,43,6287,323,27,296,260,144,260,100,1602,179,83,19,485,315,485,402,185.186131386861,129.317518248175,43.0656934306569,6323.24452554744,324.532846715328,27.9124087591241,296.620437956204,237.653284671533,166.368613138686,262.332116788321,101.200729927007,1581.29562043796,176.299270072993,81.8649635036496,19.5474452554745,477.839416058394,307.131386861314,475.78102189781,399.715328467153,11.8956311328574,52.8988128659661,1.83449640383947,5933.37954867517,2.43298307531884,54.1021897810219,67.1814122617042,3240.02220528863,423.259231036603,8.47903799363653,19.5749445202,476.106427635625,26.3130397582952,31.0696104382236,0.937301141680704,380.604154969118,45.49915777653,502.450041442742,284.936980294645
"2036",179,138,43,6747,332,12,320,105,185,262,89,1455,170,67,21,447,268,367,415,179.375912408759,137.018248175182,42.5839416058394,6742.0802919708,331.032846715328,13.0912408759124,317.941605839416,104.638686131387,189.419708029197,262.244525547445,89.1715328467153,1470.26277372263,170.583941605839,68.3211678832117,20.7773722627737,448.591240875912,272.248175182482,371.846715328467,417.835766423358,1.02667040988209,3.45387823854977,0.383037886687522,7555.01184460309,4.76448490682067,2.20043581722414,7.77679741183391,1.76274698537472,184.793895885137,2.29529959092003,2.4283441619208,2538.86842597792,9.32076682441646,6.58511804497206,0.649889040399989,112.169300286089,111.908879441726,535.075318841742,76.0645036228978
"2037",189,130,43,6377,331,30,301,267,195,267,103,1608,174,78,18,450,313,450,423,187.894160583942,129.649635036496,42.6532846715328,6389.15328467153,329.872262773723,29.3357664233577,300.536496350365,192.56204379562,186.324817518248,265.923357664234,102.445255474453,1602.29927007299,175.638686131387,78.6131386861314,18.2846715328467,462.686131386861,312.79197080292,448.832116788321,420.547445255474,8.65176064811101,35.1441940055079,0.828066094489452,8575.02403679046,6.80047324937836,43.2128552712494,68.249578888265,5846.51811448892,229.604729820058,4.93549637710222,18.0647576268014,598.972380417636,21.6601828828106,4.50180476457849,0.204379562043796,174.846180583407,95.0078473837598,701.004679019278,83.3475575519371
"2038",180,137,44,6472,326,17,309,109,186,260,94,1579,172,72,19,461,296,435,428,181.167883211679,135.740875912409,43.5510948905109,6481.79562043796,326.56204379562,18.456204379562,308.105839416058,147.547445255474,185.846715328467,260.394160583942,94.5255474452555,1566.25912408759,172.996350364963,73.5766423357664,19.2518248175182,460.481751824818,296.956204379562,431.711678832117,422.481751824818,4.19149220609075,7.28425710542499,0.431445683270501,21682.5514825807,4.86976284056576,24.4248148445229,46.5125665089169,4550.84938905377,57.844549610973,0.994251490601856,16.5359749739312,959.694513515681,5.76921740060426,12.4135183551242,0.445509478356194,46.4190797037512,120.364375284083,721.956859442261,46.0674313521029
